Branch,Internship_Role,Mode,Key_Responsibilities,Duration_Months,Stipend_Range
Hotel Management,Housekeeping Management Intern,On-site,Maintain room standards and inventory control.,3,5k - 10k
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,6,10k - 20k
Computer Science,Data Science Intern,On-site,Analyze large datasets and build predictive models.,3,5k - 10k
Hotel Management,Event Management Intern,On-site,"Coordinate weddings, banquets, and corporate events.",12,10k - 20k
Environmental Science,Sustainability Intern,Hybrid,Help companies track and reduce their carbon footprint.,12,Unpaid
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,3,10k - 20k
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,12,20k+
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,3,Unpaid
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,12,5k - 10k
Pharmacy,Formulation R&D Intern,On-site,Assist in developing new drug delivery systems.,3,5k - 10k
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,12,20k+
Medical,Medical Research Assistant,On-site,Assist in clinical data collection and lab experiments.,6,10k - 20k
Computer Science,Cybersecurity Intern,On-site,Conduct vulnerability assessments and network monitoring.,3,10k - 20k
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,12,Unpaid
Commerce,Taxation Intern,Hybrid,Prepare tax returns and research latest tax laws.,3,5k - 10k
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,3,5k - 10k
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,6,20k+
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,6,20k+
Education,E-learning Content Intern,Remote,Develop digital lessons and interactive quizzes.,6,5k - 10k
Management,Human Resources Intern,Hybrid,"Assist in recruitment, onboarding, and employee records.",6,5k - 10k
Information Technology,Network Engineering Intern,On-site,"Configure routers, switches, and monitor network traffic.",3,10k - 20k
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,6,10k - 20k
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,3,20k+
Management,Business Development Intern,Remote,Identify new lead sources and assist in client pitching.,6,10k - 20k
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,3,Unpaid
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,3,Unpaid
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,6,Unpaid
UPSC,Administrative Intern,On-site,Assist in district-level administrative documentation.,12,5k - 10k
Environmental Science,Environmental Consultant Intern,On-site,Perform EIA (Environmental Impact Assessment) tasks.,6,10k - 20k
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,3,10k - 20k
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,12,10k - 20k
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,12,5k - 10k
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,6,20k+
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,6,Unpaid
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,12,20k+
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,3,5k - 10k
Commerce,Accounting Intern,On-site,Manage accounts payable/receivable and bank reconciliation.,6,Unpaid
Medical,Hospital Administration Intern,On-site,Learn healthcare operations and patient flow management.,12,Unpaid
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,3,Unpaid
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,6,10k - 20k
Environmental Science,Environmental Consultant Intern,On-site,Perform EIA (Environmental Impact Assessment) tasks.,6,Unpaid
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,3,5k - 10k
Computer Science,Cybersecurity Intern,On-site,Conduct vulnerability assessments and network monitoring.,12,Unpaid
Pharmacy,Formulation R&D Intern,On-site,Assist in developing new drug delivery systems.,12,10k - 20k
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,12,5k - 10k
Commerce,Financial Consulting Intern,Remote,Assist in client financial planning and advisory.,6,5k - 10k
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,12,Unpaid
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,12,10k - 20k
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,12,20k+
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,6,20k+
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,6,Unpaid
Information Technology,Network Engineering Intern,On-site,"Configure routers, switches, and monitor network traffic.",6,20k+
Hotel Management,Culinary Intern,On-site,Assist chefs in food preparation and kitchen management.,12,20k+
Hotel Management,Event Management Intern,On-site,"Coordinate weddings, banquets, and corporate events.",3,10k - 20k
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,6,20k+
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,12,Unpaid
Commerce,Taxation Intern,Hybrid,Prepare tax returns and research latest tax laws.,6,Unpaid
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,3,5k - 10k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",6,5k - 10k
Banking,Retail Banking Intern,On-site,Assist in loan processing and customer relationship management.,3,5k - 10k
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,6,5k - 10k
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,3,5k - 10k
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,12,20k+
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,6,Unpaid
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,6,10k - 20k
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,6,20k+
Commerce,Audit Intern,On-site,Assist in verifying financial statements and compliance.,3,10k - 20k
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,3,10k - 20k
Information Technology,Cloud Infrastructure Intern,Hybrid,Assist in managing AWS/Azure cloud resources.,6,20k+
Commerce,Audit Intern,On-site,Assist in verifying financial statements and compliance.,12,20k+
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,6,10k - 20k
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,3,5k - 10k
Pharmacy,Formulation R&D Intern,On-site,Assist in developing new drug delivery systems.,3,Unpaid
UPSC,Administrative Intern,On-site,Assist in district-level administrative documentation.,12,5k - 10k
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,3,5k - 10k
Environmental Science,Environmental Consultant Intern,On-site,Perform EIA (Environmental Impact Assessment) tasks.,12,10k - 20k
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,6,10k - 20k
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,3,5k - 10k
Commerce,Taxation Intern,Hybrid,Prepare tax returns and research latest tax laws.,3,5k - 10k
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,6,20k+
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",12,Unpaid
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,6,10k - 20k
Agriculture,Agri-Business Intern,Hybrid,Work on supply chain and marketing of agri-products.,3,Unpaid
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,3,20k+
Design,Interior Design Intern,On-site,Assist in mood boarding and site measurements.,12,5k - 10k
Pharmacy,Quality Control Intern,On-site,Test pharmaceutical samples for purity and standards.,3,10k - 20k
Banking,Retail Banking Intern,On-site,Assist in loan processing and customer relationship management.,3,5k - 10k
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,12,10k - 20k
Commerce,Taxation Intern,Hybrid,Prepare tax returns and research latest tax laws.,3,Unpaid
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,3,10k - 20k
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,12,10k - 20k
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,12,10k - 20k
Hotel Management,Housekeeping Management Intern,On-site,Maintain room standards and inventory control.,3,5k - 10k
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,6,20k+
Hotel Management,Event Management Intern,On-site,"Coordinate weddings, banquets, and corporate events.",12,5k - 10k
Commerce,Taxation Intern,Hybrid,Prepare tax returns and research latest tax laws.,6,10k - 20k
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,12,Unpaid
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,6,10k - 20k
Civil Engineering,Urban Planning Intern,Hybrid,Work on zoning layouts and city infrastructure projects.,3,5k - 10k
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,3,Unpaid
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,6,10k - 20k
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,3,20k+
Law,IPR Intern,Hybrid,"Research trademarks, patents, and copyright filings.",6,5k - 10k
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,6,5k - 10k
Commerce,Financial Consulting Intern,Remote,Assist in client financial planning and advisory.,3,Unpaid
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,6,Unpaid
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",3,5k - 10k
Agriculture,Precision Farming Intern,On-site,Use GPS and IoT data to optimize crop yields.,3,5k - 10k
Robotics,Robotic Vision Intern,Hybrid,Work on image processing for autonomous robots.,3,5k - 10k
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,12,5k - 10k
Commerce,Accounting Intern,On-site,Manage accounts payable/receivable and bank reconciliation.,3,20k+
Information Technology,Network Engineering Intern,On-site,"Configure routers, switches, and monitor network traffic.",3,20k+
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,6,Unpaid
Agriculture,Plant Breeding Intern,On-site,Assist in genetic research for pest-resistant crops.,6,5k - 10k
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,6,Unpaid
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,3,Unpaid
Agriculture,Precision Farming Intern,On-site,Use GPS and IoT data to optimize crop yields.,3,20k+
Education,E-learning Content Intern,Remote,Develop digital lessons and interactive quizzes.,12,10k - 20k
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,3,5k - 10k
Computer Science,Data Science Intern,On-site,Analyze large datasets and build predictive models.,3,5k - 10k
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,3,20k+
Pharmacy,Pharmacovigilance Intern,Remote,Monitor and report adverse drug reactions.,6,Unpaid
Media,Social Media Intern,Remote,Manage engagement and content calendars.,6,Unpaid
Management,Business Development Intern,Remote,Identify new lead sources and assist in client pitching.,3,10k - 20k
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,12,10k - 20k
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,12,Unpaid
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,3,20k+
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,3,10k - 20k
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,3,5k - 10k
Media,Journalism Intern,On-site,Report local news and assist in editorial tasks.,6,10k - 20k
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,3,20k+
Information Technology,Network Engineering Intern,On-site,"Configure routers, switches, and monitor network traffic.",6,Unpaid
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,6,10k - 20k
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,6,20k+
Management,Operations Intern,On-site,Optimize supply chain workflows and inventory management.,12,Unpaid
Management,Operations Intern,On-site,Optimize supply chain workflows and inventory management.,12,5k - 10k
Pharmacy,Pharmacovigilance Intern,Remote,Monitor and report adverse drug reactions.,6,5k - 10k
Agriculture,Precision Farming Intern,On-site,Use GPS and IoT data to optimize crop yields.,6,5k - 10k
Agriculture,Agri-Business Intern,Hybrid,Work on supply chain and marketing of agri-products.,12,10k - 20k
Environmental Science,Sustainability Intern,Hybrid,Help companies track and reduce their carbon footprint.,3,20k+
Hotel Management,Event Management Intern,On-site,"Coordinate weddings, banquets, and corporate events.",6,20k+
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,6,10k - 20k
Civil Engineering,Urban Planning Intern,Hybrid,Work on zoning layouts and city infrastructure projects.,12,Unpaid
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,6,Unpaid
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,12,5k - 10k
Computer Science,Web Development Intern,Remote,Develop responsive front-end components using React/Vue.,3,Unpaid
UPSC,Administrative Intern,On-site,Assist in district-level administrative documentation.,12,Unpaid
Commerce,Accounting Intern,On-site,Manage accounts payable/receivable and bank reconciliation.,6,Unpaid
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,6,10k - 20k
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,12,Unpaid
Civil Engineering,Structural Design Intern,On-site,Assist in CAD drafting and structural analysis.,12,20k+
Education,E-learning Content Intern,Remote,Develop digital lessons and interactive quizzes.,6,Unpaid
Management,Business Development Intern,Remote,Identify new lead sources and assist in client pitching.,3,10k - 20k
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,6,Unpaid
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,12,20k+
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,3,10k - 20k
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,3,5k - 10k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",3,Unpaid
Law,Legal Aid Intern,On-site,Provide legal support for underprivileged communities.,3,Unpaid
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,6,Unpaid
Pharmacy,Pharmacovigilance Intern,Remote,Monitor and report adverse drug reactions.,12,5k - 10k
Computer Science,Software Engineering Intern,Remote/On-site,Focus on full-stack development and bug fixing.,12,20k+
Civil Engineering,Urban Planning Intern,Hybrid,Work on zoning layouts and city infrastructure projects.,6,10k - 20k
Pharmacy,Pharmacovigilance Intern,Remote,Monitor and report adverse drug reactions.,3,Unpaid
Information Technology,Cloud Infrastructure Intern,Hybrid,Assist in managing AWS/Azure cloud resources.,3,5k - 10k
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,12,20k+
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,6,Unpaid
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,6,5k - 10k
Design,Interior Design Intern,On-site,Assist in mood boarding and site measurements.,3,Unpaid
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,3,5k - 10k
Pharmacy,Pharmacovigilance Intern,Remote,Monitor and report adverse drug reactions.,12,20k+
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,12,20k+
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",12,5k - 10k
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,3,Unpaid
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,3,5k - 10k
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,6,5k - 10k
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,6,10k - 20k
Environmental Science,Sustainability Intern,Hybrid,Help companies track and reduce their carbon footprint.,6,20k+
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,3,20k+
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,12,Unpaid
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,12,20k+
Environmental Science,Environmental Consultant Intern,On-site,Perform EIA (Environmental Impact Assessment) tasks.,3,Unpaid
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,12,5k - 10k
Pharmacy,Quality Control Intern,On-site,Test pharmaceutical samples for purity and standards.,3,Unpaid
Education,School Counseling Intern,On-site,Assist in student career guidance and mental health.,12,20k+
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,12,Unpaid
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,6,10k - 20k
Civil Engineering,Structural Design Intern,On-site,Assist in CAD drafting and structural analysis.,12,10k - 20k
Management,Human Resources Intern,Hybrid,"Assist in recruitment, onboarding, and employee records.",6,10k - 20k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",12,Unpaid
Pharmacy,Quality Control Intern,On-site,Test pharmaceutical samples for purity and standards.,12,5k - 10k
Computer Science,Software Engineering Intern,Remote/On-site,Focus on full-stack development and bug fixing.,3,Unpaid
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,6,5k - 10k
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,3,20k+
Environmental Science,Sustainability Intern,Hybrid,Help companies track and reduce their carbon footprint.,6,5k - 10k
Law,Legal Aid Intern,On-site,Provide legal support for underprivileged communities.,12,5k - 10k
Pharmacy,Pharmacovigilance Intern,Remote,Monitor and report adverse drug reactions.,6,20k+
Hotel Management,Culinary Intern,On-site,Assist chefs in food preparation and kitchen management.,3,Unpaid
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,12,20k+
Environmental Science,Sustainability Intern,Hybrid,Help companies track and reduce their carbon footprint.,6,20k+
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,3,5k - 10k
Commerce,Taxation Intern,Hybrid,Prepare tax returns and research latest tax laws.,3,10k - 20k
Commerce,Taxation Intern,Hybrid,Prepare tax returns and research latest tax laws.,3,20k+
Design,Interior Design Intern,On-site,Assist in mood boarding and site measurements.,3,10k - 20k
Medical,Medical Research Assistant,On-site,Assist in clinical data collection and lab experiments.,6,10k - 20k
Medical,Medical Research Assistant,On-site,Assist in clinical data collection and lab experiments.,3,20k+
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,3,20k+
Medical,Hospital Administration Intern,On-site,Learn healthcare operations and patient flow management.,12,5k - 10k
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,12,20k+
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,3,5k - 10k
Commerce,Audit Intern,On-site,Assist in verifying financial statements and compliance.,3,Unpaid
Commerce,Financial Consulting Intern,Remote,Assist in client financial planning and advisory.,6,5k - 10k
Media,Social Media Intern,Remote,Manage engagement and content calendars.,12,10k - 20k
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,12,5k - 10k
Media,Social Media Intern,Remote,Manage engagement and content calendars.,12,20k+
Agriculture,Agri-Business Intern,Hybrid,Work on supply chain and marketing of agri-products.,6,5k - 10k
Civil Engineering,Urban Planning Intern,Hybrid,Work on zoning layouts and city infrastructure projects.,12,10k - 20k
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,6,20k+
Media,Journalism Intern,On-site,Report local news and assist in editorial tasks.,6,10k - 20k
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,12,Unpaid
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,3,5k - 10k
Law,IPR Intern,Hybrid,"Research trademarks, patents, and copyright filings.",3,5k - 10k
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,12,Unpaid
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,12,5k - 10k
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,3,10k - 20k
Computer Science,Web Development Intern,Remote,Develop responsive front-end components using React/Vue.,6,5k - 10k
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,6,Unpaid
Education,School Counseling Intern,On-site,Assist in student career guidance and mental health.,6,Unpaid
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,3,10k - 20k
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,12,5k - 10k
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,6,5k - 10k
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,12,20k+
Education,School Counseling Intern,On-site,Assist in student career guidance and mental health.,3,10k - 20k
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,6,10k - 20k
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,6,Unpaid
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,6,10k - 20k
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,6,Unpaid
Commerce,Financial Consulting Intern,Remote,Assist in client financial planning and advisory.,3,10k - 20k
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,12,20k+
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,6,20k+
Law,IPR Intern,Hybrid,"Research trademarks, patents, and copyright filings.",3,20k+
UPSC,Administrative Intern,On-site,Assist in district-level administrative documentation.,12,Unpaid
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,3,20k+
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,6,Unpaid
Management,Operations Intern,On-site,Optimize supply chain workflows and inventory management.,12,10k - 20k
Media,Social Media Intern,Remote,Manage engagement and content calendars.,12,Unpaid
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,12,10k - 20k
Computer Science,Cybersecurity Intern,On-site,Conduct vulnerability assessments and network monitoring.,6,Unpaid
Robotics,Robotic Vision Intern,Hybrid,Work on image processing for autonomous robots.,12,20k+
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,3,Unpaid
Medical,Nursing Intern,On-site,Assist senior staff in patient care and vitals monitoring.,12,Unpaid
Management,Human Resources Intern,Hybrid,"Assist in recruitment, onboarding, and employee records.",12,5k - 10k
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,6,10k - 20k
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,3,Unpaid
Education,E-learning Content Intern,Remote,Develop digital lessons and interactive quizzes.,12,10k - 20k
