Category,Sub_Category,Question,Suggested_Answer_Tip,Difficulty_Level
Pharmacy,Technical Interview,Advanced: What is the difference between side effects and adverse reactions?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
UPSC,Technical Interview,Discuss the impact of climate change on India's food security.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Pharmacy,Technical Interview,Intermediate: What is the difference between side effects and adverse reactions?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Robotics,Technical Interview,Advanced: What are the main components of a typical industrial robot system?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Education,Technical Interview,How do you handle a diverse classroom with students of varying learning speeds?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Civil Engineering,Technical Interview,Explain the importance of the Slump Test in concrete construction.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Design,Technical Interview,Advanced: What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Civil Engineering,Technical Interview,Intermediate: Explain the importance of the Slump Test in concrete construction.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Commerce,Technical Interview,What is the difference between a Balance Sheet and a Profit & Loss statement?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Civil Engineering,Technical Interview,Advanced: Explain the importance of the Slump Test in concrete construction.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Commerce,Technical Interview,What is the difference between a Balance Sheet and a Profit & Loss statement?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Robotics,Technical Interview,What are the main components of a typical industrial robot system?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Education,Technical Interview,Intermediate: How do you handle a diverse classroom with students of varying learning speeds?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Situational,What are your salary expectations as a fresher?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Education,Technical Interview,How do you handle a diverse classroom with students of varying learning speeds?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Law,Technical Interview,Advanced: What is the principle of 'Natural Justice'?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
General HR,Situational,Where do you see yourself in five years?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Design,Technical Interview,Intermediate: What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Hotel Management,Technical Interview,Advanced: How do you handle a guest who is unhappy with their room?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Design,Technical Interview,What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Environmental Science,Technical Interview,What is the 'Carbon Footprint' and how can industries reduce it?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Behavioral,Tell me about a time you failed and how you handled it.,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Career Goals,Why do you want to work for this company?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Law,Technical Interview,What is the principle of 'Natural Justice'?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Commerce,Technical Interview,Advanced: What is the difference between a Balance Sheet and a Profit & Loss statement?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Robotics,Technical Interview,What are the main components of a typical industrial robot system?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
UPSC,Technical Interview,Discuss the impact of climate change on India's food security.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Design,Technical Interview,Intermediate: What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Career Goals,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Situational,What motivates you to do your best work?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Management,Technical Interview,Advanced: How would you handle an underperforming team member?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Education,Technical Interview,How do you handle a diverse classroom with students of varying learning speeds?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Agriculture,Technical Interview,Intermediate: What are the advantages of organic farming over chemical farming?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Hotel Management,Technical Interview,Advanced: How do you handle a guest who is unhappy with their room?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
General HR,Career Goals,Tell me about yourself.,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
General HR,Situational,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
Design,Technical Interview,Advanced: What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Environmental Science,Technical Interview,Intermediate: What is the 'Carbon Footprint' and how can industries reduce it?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Civil Engineering,Technical Interview,Explain the importance of the Slump Test in concrete construction.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Information Technology,Technical Interview,Advanced: What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
General HR,Behavioral,What are your salary expectations as a fresher?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
General HR,Self-Assessment,How do you handle pressure or stressful situations?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
General HR,Behavioral,What motivates you to do your best work?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Robotics,Technical Interview,What are the main components of a typical industrial robot system?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Hotel Management,Technical Interview,How do you handle a guest who is unhappy with their room?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Banking,Technical Interview,Advanced: What is the role of a Central Bank in an economy?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Pharmacy,Technical Interview,What is the difference between side effects and adverse reactions?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Behavioral,What motivates you to do your best work?,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Career Goals,Why do you want to work for this company?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Agriculture,Technical Interview,What are the advantages of organic farming over chemical farming?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Situational,Where do you see yourself in five years?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Information Technology,Technical Interview,Advanced: What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Career Goals,Tell me about a time you failed and how you handled it.,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Law,Technical Interview,What is the principle of 'Natural Justice'?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Information Technology,Technical Interview,Advanced: What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Law,Technical Interview,What is the principle of 'Natural Justice'?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Hotel Management,Technical Interview,How do you handle a guest who is unhappy with their room?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Media,Technical Interview,Intermediate: How do you verify the credibility of a news source before reporting?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Information Technology,Technical Interview,What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Situational,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Information Technology,Technical Interview,Advanced: What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Pharmacy,Technical Interview,What is the difference between side effects and adverse reactions?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Information Technology,Technical Interview,Intermediate: What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Management,Technical Interview,Advanced: How would you handle an underperforming team member?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Design,Technical Interview,What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Robotics,Technical Interview,What are the main components of a typical industrial robot system?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Behavioral,Describe a time you worked in a team and faced a conflict.,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
Information Technology,Technical Interview,Intermediate: What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Education,Technical Interview,How do you handle a diverse classroom with students of varying learning speeds?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Pharmacy,Technical Interview,Advanced: What is the difference between side effects and adverse reactions?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Agriculture,Technical Interview,What are the advantages of organic farming over chemical farming?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Civil Engineering,Technical Interview,Explain the importance of the Slump Test in concrete construction.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
General HR,Behavioral,Where do you see yourself in five years?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Law,Technical Interview,What is the principle of 'Natural Justice'?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Computer Science,Technical Interview,Explain the difference between a Class and an Object in OOP.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Career Goals,Where do you see yourself in five years?,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Self-Assessment,Why do you want to work for this company?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Robotics,Technical Interview,Intermediate: What are the main components of a typical industrial robot system?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Banking,Technical Interview,Advanced: What is the role of a Central Bank in an economy?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
UPSC,Technical Interview,Discuss the impact of climate change on India's food security.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Career Goals,What motivates you to do your best work?,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Self-Assessment,How do you handle pressure or stressful situations?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Medical,Technical Interview,Intermediate: How would you handle a patient who refuses necessary treatment?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Information Technology,Technical Interview,What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Design,Technical Interview,Advanced: What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Robotics,Technical Interview,What are the main components of a typical industrial robot system?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Self-Assessment,What are your salary expectations as a fresher?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
General HR,Self-Assessment,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Medical,Technical Interview,How would you handle a patient who refuses necessary treatment?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
General HR,Situational,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
General HR,Situational,Tell me about a time you failed and how you handled it.,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Pharmacy,Technical Interview,What is the difference between side effects and adverse reactions?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
General HR,Career Goals,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Agriculture,Technical Interview,Advanced: What are the advantages of organic farming over chemical farming?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Information Technology,Technical Interview,What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Pharmacy,Technical Interview,What is the difference between side effects and adverse reactions?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Behavioral,What is your greatest strength and weakness?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Medical,Technical Interview,Intermediate: How would you handle a patient who refuses necessary treatment?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Law,Technical Interview,What is the principle of 'Natural Justice'?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Self-Assessment,Where do you see yourself in five years?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Computer Science,Technical Interview,Explain the difference between a Class and an Object in OOP.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Information Technology,Technical Interview,What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Environmental Science,Technical Interview,Intermediate: What is the 'Carbon Footprint' and how can industries reduce it?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Education,Technical Interview,How do you handle a diverse classroom with students of varying learning speeds?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Career Goals,What is your greatest strength and weakness?,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Situational,Tell me about yourself.,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Career Goals,Tell me about a time you failed and how you handled it.,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
General HR,Behavioral,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Commerce,Technical Interview,Advanced: What is the difference between a Balance Sheet and a Profit & Loss statement?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Design,Technical Interview,What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Robotics,Technical Interview,What are the main components of a typical industrial robot system?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Information Technology,Technical Interview,Advanced: What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Career Goals,Tell me about a time you failed and how you handled it.,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Banking,Technical Interview,What is the role of a Central Bank in an economy?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Career Goals,Why do you want to work for this company?,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Career Goals,Where do you see yourself in five years?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Design,Technical Interview,What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Media,Technical Interview,Intermediate: How do you verify the credibility of a news source before reporting?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Commerce,Technical Interview,What is the difference between a Balance Sheet and a Profit & Loss statement?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Self-Assessment,Tell me about a time you failed and how you handled it.,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Career Goals,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Environmental Science,Technical Interview,What is the 'Carbon Footprint' and how can industries reduce it?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Civil Engineering,Technical Interview,Intermediate: Explain the importance of the Slump Test in concrete construction.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Career Goals,Why do you want to work for this company?,"Focus on being honest, confident, and aligning your answer with the company's values.",Intermediate
Computer Science,Technical Interview,Explain the difference between a Class and an Object in OOP.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
General HR,Behavioral,What is your greatest strength and weakness?,"Focus on being honest, confident, and aligning your answer with the company's values.",Beginner
Civil Engineering,Technical Interview,Advanced: Explain the importance of the Slump Test in concrete construction.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Computer Science,Technical Interview,Intermediate: Explain the difference between a Class and an Object in OOP.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Agriculture,Technical Interview,What are the advantages of organic farming over chemical farming?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Banking,Technical Interview,Advanced: What is the role of a Central Bank in an economy?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Pharmacy,Technical Interview,What is the difference between side effects and adverse reactions?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Information Technology,Technical Interview,What is the difference between HTTP and HTTPS?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
Medical,Technical Interview,Intermediate: How would you handle a patient who refuses necessary treatment?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Design,Technical Interview,What is the difference between UI and UX design?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Intermediate
Civil Engineering,Technical Interview,Explain the importance of the Slump Test in concrete construction.,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Beginner
Environmental Science,Technical Interview,Advanced: What is the 'Carbon Footprint' and how can industries reduce it?,Demonstrate your foundational knowledge and use specific examples from your projects or internships.,Advanced
General HR,Career Goals,Why should we hire you over other candidates?,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
General HR,Self-Assessment,Tell me about a time you failed and how you handled it.,"Focus on being honest, confident, and aligning your answer with the company's values.",Advanced
